timestamp,temperature_celsius,cloud_cover_percentage,uv_index,panel_angle_degrees,power_output_kw
2024-01-02 14:00:00,-2.94,46.93,6.07,50,6.35
2024-01-02 15:00:00,-0.68,34.68,6.78,30,9.18
2024-01-02 16:00:00,-0.63,86.24,3.07,20,1.42
2024-01-02 17:00:00,-2.97,85.43,2.74,40,1.53
2024-01-02 18:00:00,-4.84,2.23,7.76,30,14.5
2024-01-02 19:00:00,-6.51,60.95,3.89,50,3.22
2024-01-02 20:00:00,-10.07,36.78,3.84,40,5.1
2024-01-02 21:00:00,-9.59,41.57,2.44,40,3.02
2024-01-02 22:00:00,-9.86,83.2,1.61,50,0.83
2024-01-02 23:00:00,-7.33,30.98,0.62,50,0.77
2024-01-03 00:00:00,-8.86,94.3,0.4,20,0.02
2024-01-03 01:00:00,-12.91,17.96,0.71,50,1.0
2024-01-03 02:00:00,-8.23,66.27,1.12,40,0.99
2024-01-03 03:00:00,-8.86,67.21,2.49,50,1.86
2024-01-03 04:00:00,-8.4,25.22,4.59,40,6.83
2024-01-03 05:00:00,-4.62,32.48,5.07,30,7.07
2024-01-03 06:00:00,-2.49,83.48,2.61,30,1.49
2024-01-03 07:00:00,-1.39,76.18,3.68,40,2.49
2024-01-03 08:00:00,-3.73,32.91,6.84,30,9.54
2024-01-03 09:00:00,-1.63,53.4,5.53,20,5.16
2024-01-03 10:00:00,0.44,6.17,9.95,40,17.97
2024-01-03 11:00:00,2.23,20.87,7.33,40,11.47
2024-01-03 12:00:00,-0.51,48.58,6.37,50,6.45
2024-01-03 13:00:00,-0.09,8.6,9.09,20,14.3
2024-01-03 14:00:00,-2.43,84.33,2.81,50,1.36
2024-01-03 15:00:00,-3.41,71.8,4.12,20,2.84
2024-01-03 16:00:00,-0.43,94.36,3.52,20,1.3
2024-01-03 17:00:00,-0.54,69.35,4.28,20,3.13
2024-01-03 18:00:00,-4.69,94.04,3.42,40,1.41
2024-01-03 19:00:00,-3.84,55.45,4.61,30,4.82
2024-01-03 20:00:00,-6.33,60.02,3.22,30,3.07
2024-01-03 21:00:00,-9.38,97.7,1.49,50,0.5
2024-01-03 22:00:00,-8.16,64.21,1.51,50,1.13
2024-01-03 23:00:00,-6.3,3.08,0.0,30,0.0
2024-01-04 00:00:00,-9.56,72.38,0.0,30,0.03
2024-01-04 01:00:00,-6.19,90.55,0.57,20,0.23
2024-01-04 02:00:00,-14.06,79.56,1.52,50,0.88
2024-01-04 03:00:00,-6.38,58.38,2.48,50,2.13
2024-01-04 04:00:00,-6.81,67.13,2.32,50,1.74
2024-01-04 05:00:00,-6.38,99.02,2.54,50,0.76
2024-01-04 06:00:00,-4.3,9.07,7.38,30,12.91
2024-01-04 07:00:00,-7.17,66.72,4.87,30,4.14
2024-01-04 08:00:00,-2.43,28.34,7.52,40,10.83
2024-01-04 09:00:00,-0.24,64.01,5.02,40,4.46
2024-01-04 10:00:00,2.8,60.76,6.28,30,5.98
2024-01-04 11:00:00,-0.69,15.35,8.97,20,13.34
2024-01-04 12:00:00,-1.1,20.67,8.88,30,13.99
2024-01-04 13:00:00,-0.66,62.16,5.99,20,4.86
2024-01-04 14:00:00,1.67,12.82,8.77,50,13.41
2024-01-04 15:00:00,-0.29,26.52,7.18,40,10.69
2024-01-04 16:00:00,-3.05,83.52,3.8,20,1.92
2024-01-04 17:00:00,-2.17,32.71,6.7,50,8.26
2024-01-04 18:00:00,-4.29,48.81,4.55,30,5.19
2024-01-04 19:00:00,-3.84,94.11,2.71,40,1.2
2024-01-04 20:00:00,-8.39,22.71,4.61,30,7.04
2024-01-04 21:00:00,-8.68,38.96,2.68,50,3.03
2024-01-04 22:00:00,-9.6,60.65,2.24,50,1.87
2024-01-04 23:00:00,-12.24,75.53,0.47,30,0.22
2024-01-05 00:00:00,-8.82,90.17,0.75,50,0.32
2024-01-05 01:00:00,-8.72,91.55,0.73,50,0.35
2024-01-05 02:00:00,-8.74,77.66,1.24,20,0.67
2024-01-05 03:00:00,-8.42,22.83,2.8,30,4.31
2024-01-05 04:00:00,-9.75,2.48,4.87,30,9.04
2024-01-05 05:00:00,-6.55,38.38,4.43,40,5.8
2024-01-05 06:00:00,-5.1,14.15,5.77,20,8.63
2024-01-05 07:00:00,-4.73,71.04,4.07,20,2.9
2024-01-05 08:00:00,-2.24,66.11,4.44,50,3.36
2024-01-05 09:00:00,-0.07,4.4,9.26,40,16.99
2024-01-05 10:00:00,3.69,83.66,4.93,40,2.85
2024-01-05 11:00:00,0.76,24.87,7.66,20,10.31
2024-01-05 12:00:00,1.1,43.22,7.97,40,9.65
2024-01-05 13:00:00,0.26,66.79,5.44,20,4.11
2024-01-05 14:00:00,-3.92,42.94,6.41,40,7.79
2024-01-05 15:00:00,-0.93,44.13,6.9,20,7.38
2024-01-05 16:00:00,-1.8,6.56,8.06,20,13.02
2024-01-05 17:00:00,1.8,40.14,5.77,50,6.55
2024-01-05 18:00:00,-4.8,76.48,3.26,50,2.04
2024-01-05 19:00:00,-5.11,91.52,1.97,40,0.87
2024-01-05 20:00:00,-6.99,41.35,3.98,50,4.43
2024-01-05 21:00:00,-10.29,42.36,2.6,30,3.19
2024-01-05 22:00:00,-6.46,70.26,0.66,30,0.53
2024-01-05 23:00:00,-7.74,94.28,0.76,40,0.34
2024-01-06 00:00:00,-7.76,26.71,0.0,20,0.0
2024-01-06 01:00:00,-10.99,44.01,0.35,50,0.33
2024-01-06 02:00:00,-5.87,79.6,1.81,40,1.2
2024-01-06 03:00:00,-10.68,60.97,1.67,30,1.57
2024-01-06 04:00:00,-5.67,11.06,3.47,20,5.29
2024-01-06 05:00:00,-1.26,62.77,3.85,50,3.02
2024-01-06 06:00:00,-6.32,18.67,6.04,20,8.68
2024-01-06 07:00:00,-4.18,51.02,5.13,20,4.97
2024-01-06 08:00:00,-1.64,52.91,5.45,50,5.2
2024-01-06 09:00:00,-1.81,87.62,3.96,50,1.78
2024-01-06 10:00:00,-3.11,46.25,6.3,30,7.37
2024-01-06 11:00:00,0.62,27.94,8.81,30,12.82
2024-01-06 12:00:00,-1.47,23.1,7.72,20,10.69
2024-01-06 13:00:00,1.43,87.43,4.36,20,2.06
2024-01-06 14:00:00,-1.85,17.1,8.88,30,14.53
2024-01-06 15:00:00,2.29,42.59,6.24,30,7.64
2024-01-06 16:00:00,-3.41,18.72,7.07,20,10.18
2024-01-06 17:00:00,-3.69,77.33,4.35,40,2.94
2024-01-06 18:00:00,-2.72,47.44,4.34,40,5.06
2024-01-06 19:00:00,-8.1,35.11,4.36,40,5.86
2024-01-06 20:00:00,-6.39,36.11,4.24,50,4.97
2024-01-06 21:00:00,-5.26,85.22,1.67,30,0.82
2024-01-06 22:00:00,-11.89,55.38,0.73,40,0.83
2024-01-06 23:00:00,-8.8,71.79,1.55,40,1.21
2024-01-07 00:00:00,-8.75,89.7,0.0,30,0.03
2024-01-07 01:00:00,-7.53,90.17,0.32,50,0.21
2024-01-07 02:00:00,-11.07,32.85,2.15,40,2.88
2024-01-07 03:00:00,-10.44,95.25,1.71,50,0.58
2024-01-07 04:00:00,-5.72,2.49,5.9,50,9.81
2024-01-07 05:00:00,-4.97,37.68,3.73,20,4.38
2024-01-07 06:00:00,-3.76,89.58,3.26,30,1.54
2024-01-07 07:00:00,-2.28,27.46,6.85,20,8.92
2024-01-07 08:00:00,-3.13,27.31,7.02,40,10.23
2024-01-07 09:00:00,-0.27,30.26,7.77,20,9.93
2024-01-07 10:00:00,0.65,61.23,6.18,30,5.72
2024-01-07 11:00:00,-0.86,43.83,6.33,50,6.8
2024-01-07 12:00:00,4.47,72.67,6.03,50,4.07
2024-01-07 13:00:00,1.51,89.49,3.22,40,1.52
2024-01-07 14:00:00,-2.32,67.42,4.75,30,3.87
2024-01-07 15:00:00,0.58,20.45,7.85,50,10.99
2024-01-07 16:00:00,-3.72,93.27,4.24,40,1.79
2024-01-07 17:00:00,-1.4,26.45,6.38,30,9.48
2024-01-07 18:00:00,-1.95,14.99,6.35,30,10.55
2024-01-07 19:00:00,-7.2,9.0,6.44,20,10.15
2024-01-07 20:00:00,-4.84,56.34,2.97,50,2.6
2024-01-07 21:00:00,-6.98,11.38,2.95,30,4.99
2024-01-07 22:00:00,-6.95,13.88,2.14,50,3.33
2024-01-07 23:00:00,-5.3,30.0,1.73,50,2.27
2024-01-08 00:00:00,-9.67,28.17,0.04,30,0.09
2024-01-08 01:00:00,-10.52,60.42,1.74,50,1.44
2024-01-08 02:00:00,-10.29,81.67,1.55,20,0.83
2024-01-08 03:00:00,-9.35,76.13,1.56,40,1.08
2024-01-08 04:00:00,-6.84,26.25,4.15,40,6.23
2024-01-08 05:00:00,-4.8,24.53,4.67,30,7.07
2024-01-08 06:00:00,-3.63,96.58,2.18,20,0.75
2024-01-08 07:00:00,-1.24,0.82,10.13,40,19.11
2024-01-08 08:00:00,-1.66,87.97,4.09,20,1.9
2024-01-08 09:00:00,2.26,19.97,8.44,30,13.38
2024-01-08 10:00:00,-0.38,94.73,3.25,20,1.16
2024-01-08 11:00:00,6.09,34.23,8.44,30,11.42
2024-01-08 12:00:00,2.07,44.04,7.61,40,9.15
2024-01-08 13:00:00,-1.07,70.71,6.18,40,4.77
2024-01-08 14:00:00,-2.0,58.77,6.79,40,6.58
2024-01-08 15:00:00,0.32,31.79,6.54,40,9.14
2024-01-08 16:00:00,-2.13,55.38,4.91,50,4.37
2024-01-08 17:00:00,-1.46,73.07,3.57,20,2.36
2024-01-08 18:00:00,-3.24,4.23,6.4,20,10.44
2024-01-08 19:00:00,-5.62,1.12,6.2,20,10.47
2024-01-08 20:00:00,-8.38,45.81,3.19,30,3.78
2024-01-08 21:00:00,-10.75,13.18,4.53,40,7.63
2024-01-08 22:00:00,-9.41,66.43,2.39,40,2.06
2024-01-08 23:00:00,-7.3,21.41,1.12,50,1.59
2024-01-09 00:00:00,-8.67,43.29,0.98,50,1.05
2024-01-09 01:00:00,-11.42,19.77,1.88,40,3.06
2024-01-09 02:00:00,-8.08,54.85,1.42,20,1.27
2024-01-09 03:00:00,-6.86,11.61,2.53,20,3.95
2024-01-09 04:00:00,-8.37,2.31,4.81,40,8.96
2024-01-09 05:00:00,-5.08,5.11,5.56,30,10.07
2024-01-09 06:00:00,-3.98,95.43,2.68,20,0.91
2024-01-09 07:00:00,-5.09,14.23,7.23,40,12.05
2024-01-09 08:00:00,-0.88,70.85,4.6,40,3.62
2024-01-09 09:00:00,0.56,6.79,9.08,50,14.49
2024-01-09 10:00:00,2.4,10.82,8.36,50,13.0
2024-01-09 11:00:00,2.84,50.89,6.76,40,7.35
2024-01-09 12:00:00,-1.85,46.49,6.68,30,7.82
2024-01-09 13:00:00,-1.14,95.16,3.72,40,1.47
2024-01-09 14:00:00,1.26,94.48,4.05,20,1.48
2024-01-09 15:00:00,0.47,77.96,3.82,30,2.52
2024-01-09 16:00:00,-0.57,60.21,5.04,30,4.79
2024-01-09 17:00:00,4.9,45.5,5.47,50,5.78
2024-01-09 18:00:00,-2.96,35.62,5.13,40,6.79
2024-01-09 19:00:00,-3.12,94.71,2.69,50,0.92
2024-01-09 20:00:00,-4.69,60.29,2.63,20,2.2
2024-01-09 21:00:00,-6.33,57.91,2.07,50,1.78
2024-01-09 22:00:00,-9.06,23.19,1.83,20,2.58
2024-01-09 23:00:00,-7.41,4.67,1.81,40,3.31
2024-01-10 00:00:00,-10.55,94.52,0.0,40,0.0
2024-01-10 01:00:00,-9.31,31.37,1.26,50,1.56
2024-01-10 02:00:00,-9.31,44.26,2.81,50,2.99
2024-01-10 03:00:00,-7.38,11.46,3.5,50,5.36
2024-01-10 04:00:00,-1.88,83.69,2.77,20,1.37
2024-01-10 05:00:00,-9.04,2.76,6.81,30,12.6
2024-01-10 06:00:00,-2.64,83.4,3.65,30,2.16
2024-01-10 07:00:00,-5.94,14.03,7.18,50,10.79
2024-01-10 08:00:00,-2.45,88.66,3.86,50,1.71
2024-01-10 09:00:00,1.71,72.98,4.1,40,3.05
2024-01-10 10:00:00,0.45,16.47,8.21,50,12.04
2024-01-10 11:00:00,-1.33,56.58,5.87,40,5.89
2024-01-10 12:00:00,-0.44,31.27,9.04,20,11.38
2024-01-10 13:00:00,2.18,17.82,8.33,20,12.08
2024-01-10 14:00:00,-1.14,85.92,3.71,20,1.71
2024-01-10 15:00:00,-0.04,40.35,6.23,20,7.02
2024-01-10 16:00:00,-1.42,39.85,6.64,50,7.46
2024-01-10 17:00:00,-4.02,16.99,7.11,50,10.4
2024-01-10 18:00:00,0.28,38.31,5.81,40,7.55
2024-01-10 19:00:00,-4.03,87.16,2.89,50,1.31
2024-01-10 20:00:00,-10.56,36.31,3.1,40,4.1
2024-01-10 21:00:00,-7.17,95.16,1.0,20,0.24
2024-01-10 22:00:00,-9.66,94.63,1.64,40,0.71
2024-01-10 23:00:00,-7.13,14.49,1.08,40,1.84
2024-01-11 00:00:00,-10.5,17.73,0.59,50,0.92
2024-01-11 01:00:00,-8.97,86.27,0.48,20,0.3
2024-01-11 02:00:00,-7.23,39.28,1.43,30,1.76
2024-01-11 03:00:00,-5.72,0.44,3.66,50,6.25
2024-01-11 04:00:00,-8.81,27.39,3.6,50,4.8
2024-01-11 05:00:00,-5.88,59.76,3.38,30,3.15
2024-01-11 06:00:00,-4.86,79.93,3.4,20,1.92
2024-01-11 07:00:00,-3.93,13.34,7.48,30,12.62
2024-01-11 08:00:00,2.12,11.05,7.23,40,12.51
2024-01-11 09:00:00,0.43,92.21,3.55,30,1.44
2024-01-11 10:00:00,-2.1,75.11,4.53,20,2.97
2024-01-11 11:00:00,2.75,58.98,5.69,20,4.91
2024-01-11 12:00:00,5.33,76.92,4.94,30,3.41
2024-01-11 13:00:00,2.98,42.89,6.8,50,7.43
2024-01-11 14:00:00,-2.62,75.85,5.47,30,3.85
2024-01-11 15:00:00,-1.35,37.18,7.54,40,9.77
2024-01-11 16:00:00,1.12,24.41,7.84,30,11.85
2024-01-11 17:00:00,-4.03,72.9,3.83,30,2.9
2024-01-11 18:00:00,-3.03,41.97,4.61,30,5.71
2024-01-11 19:00:00,-3.66,98.14,2.15,40,0.66
2024-01-11 20:00:00,-8.27,34.95,3.76,30,5.07
2024-01-11 21:00:00,-7.57,92.17,1.17,50,0.42
2024-01-11 22:00:00,-14.73,93.3,0.39,40,0.12
2024-01-11 23:00:00,-10.79,24.19,1.07,50,1.38
2024-01-12 00:00:00,-9.32,79.82,0.0,40,0.03
2024-01-12 01:00:00,-11.14,43.31,1.27,20,1.44
2024-01-12 02:00:00,-4.88,91.75,1.34,20,0.64
2024-01-12 03:00:00,-10.21,45.01,3.23,40,3.76
2024-01-12 04:00:00,-7.19,74.43,1.89,40,1.4
2024-01-12 05:00:00,-4.85,46.7,4.39,40,5.14
2024-01-12 06:00:00,-0.93,22.78,5.63,20,7.73
2024-01-12 07:00:00,-5.39,19.94,6.27,40,9.89
2024-01-12 08:00:00,1.01,42.54,5.99,20,6.52
2024-01-12 09:00:00,-0.26,75.55,5.12,20,3.2
2024-01-12 10:00:00,-1.45,60.51,5.58,40,5.26
2024-01-12 11:00:00,1.94,68.86,6.15,40,5.04
2024-01-12 12:00:00,1.58,28.23,8.39,40,12.25
2024-01-12 13:00:00,-0.19,48.14,6.54,20,6.57
2024-01-12 14:00:00,0.66,4.44,9.95,30,18.17
2024-01-12 15:00:00,-1.05,81.75,4.43,40,2.75
2024-01-12 16:00:00,-1.09,98.99,2.48,30,0.79
2024-01-12 17:00:00,-1.2,40.69,6.71,30,8.42
2024-01-12 18:00:00,-0.64,1.1,7.15,30,13.37
2024-01-12 19:00:00,-7.58,16.98,5.41,50,7.95
2024-01-12 20:00:00,-2.05,65.25,2.4,30,1.98
2024-01-12 21:00:00,-11.25,61.21,2.86,30,2.58
2024-01-12 22:00:00,-8.45,78.79,1.49,20,0.92
2024-01-12 23:00:00,-7.47,25.39,1.4,50,1.97
2024-01-13 00:00:00,-8.15,76.36,0.0,20,0.0
2024-01-13 01:00:00,-9.79,68.8,1.12,20,0.81
2024-01-13 02:00:00,-8.46,32.28,2.49,30,3.5
2024-01-13 03:00:00,-8.23,54.55,2.1,20,1.96
2024-01-13 04:00:00,-7.39,14.73,3.8,40,6.32
2024-01-13 05:00:00,-3.31,45.26,4.54,30,5.35
2024-01-13 06:00:00,-3.0,88.12,2.13,40,1.0
2024-01-13 07:00:00,-3.8,42.12,5.78,30,7.14
2024-01-13 08:00:00,0.59,83.96,3.59,30,2.04
2024-01-13 09:00:00,0.44,59.03,6.21,30,5.98
2024-01-13 10:00:00,2.24,19.19,8.23,50,11.7
2024-01-13 11:00:00,2.38,58.11,6.63,30,6.45
2024-01-13 12:00:00,-0.37,50.6,6.37,40,7.03
2024-01-13 13:00:00,-0.0,39.86,7.78,30,9.91
2024-01-13 14:00:00,2.11,11.96,9.92,30,16.95
2024-01-13 15:00:00,1.04,41.67,6.14,20,6.79
2024-01-13 16:00:00,-1.25,7.28,8.39,30,14.92
2024-01-13 17:00:00,-2.18,9.88,8.79,30,15.37
2024-01-13 18:00:00,-1.16,41.59,5.14,30,6.39
2024-01-13 19:00:00,-6.19,30.54,4.88,30,6.93
2024-01-13 20:00:00,-5.12,92.55,2.31,30,1.02
2024-01-13 21:00:00,-7.65,37.57,2.89,30,3.75
2024-01-13 22:00:00,-8.48,75.79,0.43,50,0.21
2024-01-13 23:00:00,-6.34,53.02,1.41,40,1.45
2024-01-14 00:00:00,-6.95,70.41,0.0,50,0.06
2024-01-14 01:00:00,-6.81,26.01,0.87,40,1.26
2024-01-14 02:00:00,-5.32,94.19,1.57,50,0.55
2024-01-14 03:00:00,-7.1,53.01,2.3,30,2.38
2024-01-14 04:00:00,-4.74,83.13,1.88,50,0.92
2024-01-14 05:00:00,-5.52,36.5,5.05,40,6.63
2024-01-14 06:00:00,-2.96,10.02,6.17,20,9.7
2024-01-14 07:00:00,-2.57,67.37,3.76,20,2.84
2024-01-14 08:00:00,-0.91,0.78,8.75,30,16.5
2024-01-14 09:00:00,1.12,47.53,6.22,30,7.19
2024-01-14 10:00:00,-0.91,19.28,7.8,40,12.42
2024-01-14 11:00:00,5.41,62.74,6.09,20,5.0
2024-01-14 12:00:00,-0.62,97.94,3.7,30,1.4
2024-01-14 13:00:00,-1.2,46.44,6.67,50,7.0
2024-01-14 14:00:00,3.04,81.75,4.25,50,2.31
2024-01-14 15:00:00,1.51,50.78,6.35,20,6.26
2024-01-14 16:00:00,0.14,49.58,6.39,40,7.13
2024-01-14 17:00:00,-1.05,93.04,2.87,30,1.13
2024-01-14 18:00:00,-3.63,89.0,3.2,30,1.54
2024-01-14 19:00:00,-6.69,78.58,3.18,30,2.04
2024-01-14 20:00:00,-5.95,29.63,4.45,20,5.67
2024-01-14 21:00:00,-8.5,54.5,2.46,50,2.37
2024-01-14 22:00:00,-5.99,22.39,1.75,40,2.75
2024-01-14 23:00:00,-8.73,44.39,0.69,20,0.76
2024-01-15 00:00:00,-10.15,48.42,0.17,20,0.21
2024-01-15 01:00:00,-8.97,83.16,1.49,30,0.77
2024-01-15 02:00:00,-7.0,89.6,0.8,50,0.38
2024-01-15 03:00:00,-8.16,41.46,3.17,40,3.99
2024-01-15 04:00:00,-7.64,1.77,4.78,40,8.83
2024-01-15 05:00:00,-4.3,86.18,2.65,30,1.45
2024-01-15 06:00:00,-3.0,17.43,7.01,40,11.31
2024-01-15 07:00:00,-3.21,62.19,5.03,50,4.02
2024-01-15 08:00:00,-1.94,2.5,7.9,30,14.76
2024-01-15 09:00:00,0.51,39.95,6.49,30,8.18
2024-01-15 10:00:00,-2.06,98.6,3.94,50,1.16
2024-01-15 11:00:00,-1.48,10.07,9.32,40,16.27
2024-01-15 12:00:00,0.07,42.37,6.6,50,7.24
2024-01-15 13:00:00,0.91,30.71,7.47,40,10.56
2024-01-15 14:00:00,1.46,90.51,4.18,40,1.94
2024-01-15 15:00:00,2.99,86.93,4.38,40,2.31
2024-01-15 16:00:00,0.72,23.77,7.3,50,9.94
2024-01-15 17:00:00,-2.52,8.12,8.74,50,13.86
2024-01-15 18:00:00,-3.53,62.71,4.53,20,3.65
2024-01-15 19:00:00,-6.79,33.64,4.6,50,5.65
2024-01-15 20:00:00,-6.03,67.21,2.35,30,1.98
2024-01-15 21:00:00,-7.61,3.21,3.26,30,6.12
2024-01-15 22:00:00,-7.18,13.34,2.53,30,4.25
2024-01-15 23:00:00,-9.98,68.64,0.46,30,0.37
2024-01-16 00:00:00,-7.34,21.24,0.84,20,1.18
2024-01-16 01:00:00,-5.14,85.76,1.29,50,0.68
2024-01-16 02:00:00,-7.93,5.86,2.8,50,4.48
2024-01-16 03:00:00,-6.11,21.55,2.69,40,4.19
2024-01-16 04:00:00,-4.5,99.86,1.34,50,0.26
2024-01-16 05:00:00,-5.48,43.31,4.96,40,6.01
2024-01-16 06:00:00,-2.93,70.3,3.48,40,2.79
2024-01-16 07:00:00,-2.06,18.27,7.53,30,12.09
2024-01-16 08:00:00,-0.68,60.99,5.38,20,4.5
2024-01-16 09:00:00,-1.39,72.61,4.79,20,3.19
2024-01-16 10:00:00,1.0,31.45,7.28,50,9.09
2024-01-16 11:00:00,2.45,82.89,4.39,40,2.63
2024-01-16 12:00:00,4.52,60.34,6.07,30,5.68
2024-01-16 13:00:00,3.37,38.91,7.86,40,10.1
2024-01-16 14:00:00,5.26,55.76,5.63,30,5.74
2024-01-16 15:00:00,-1.38,57.68,5.56,40,5.44
2024-01-16 16:00:00,0.86,16.55,7.73,50,11.33
2024-01-16 17:00:00,-1.72,40.27,6.13,50,6.88
2024-01-16 18:00:00,1.0,34.34,5.0,40,6.8
2024-01-16 19:00:00,-6.29,40.09,3.8,20,4.24
2024-01-16 20:00:00,-7.56,76.11,2.8,30,1.93
2024-01-16 21:00:00,-8.11,48.25,1.84,20,1.85
2024-01-16 22:00:00,-11.96,94.03,1.61,20,0.65
2024-01-16 23:00:00,-9.26,29.37,0.97,40,1.4
2024-01-17 00:00:00,-9.78,41.57,0.0,30,0.05
2024-01-17 01:00:00,-7.79,78.7,0.38,30,0.28
2024-01-17 02:00:00,-6.91,54.6,1.84,50,1.73
2024-01-17 03:00:00,-3.04,54.7,2.16,40,2.22
2024-01-17 04:00:00,-3.86,5.33,4.83,40,8.82
2024-01-17 05:00:00,-5.71,39.86,4.84,40,6.12
2024-01-17 06:00:00,-5.06,27.07,5.69,50,7.41
2024-01-17 07:00:00,-0.98,99.93,2.18,50,0.61
2024-01-17 08:00:00,-3.4,30.84,6.73,30,9.52
2024-01-17 09:00:00,3.94,88.45,4.5,50,1.93
2024-01-17 10:00:00,3.43,67.62,6.15,40,5.05
2024-01-17 11:00:00,0.63,34.09,6.65,40,8.99
2024-01-17 12:00:00,-1.69,54.35,6.92,20,6.48
2024-01-17 13:00:00,4.28,84.05,4.48,50,2.37
2024-01-17 14:00:00,0.84,88.34,4.43,40,2.21
2024-01-17 15:00:00,2.75,16.04,7.98,40,13.15
2024-01-17 16:00:00,-3.95,33.96,5.82,30,7.95
2024-01-17 17:00:00,-3.17,33.52,6.45,50,7.98
2024-01-17 18:00:00,-3.25,4.2,6.4,40,11.71
2024-01-17 19:00:00,-4.46,59.82,2.97,30,2.81
2024-01-17 20:00:00,-6.66,85.48,1.49,20,0.71
2024-01-17 21:00:00,-5.55,38.16,3.15,20,3.66
2024-01-17 22:00:00,-9.73,74.0,1.38,30,1.13
2024-01-17 23:00:00,-8.38,62.77,1.15,50,0.93
2024-01-18 00:00:00,-7.9,37.56,0.33,40,0.39
2024-01-18 01:00:00,-6.94,14.11,0.97,50,1.4
2024-01-18 02:00:00,-6.05,70.93,1.33,30,1.1
2024-01-18 03:00:00,-8.92,85.46,1.39,40,0.72
2024-01-18 04:00:00,-8.71,68.59,2.61,40,2.16
2024-01-18 05:00:00,-1.88,1.79,5.53,40,10.32
2024-01-18 06:00:00,-2.47,21.62,6.25,50,8.64
2024-01-18 07:00:00,-3.34,6.95,8.1,50,13.01
2024-01-18 08:00:00,2.46,57.04,4.96,30,4.91
2024-01-18 09:00:00,0.63,75.65,5.22,20,3.3
2024-01-18 10:00:00,3.55,11.06,9.0,30,15.56
2024-01-18 11:00:00,1.83,83.83,4.49,40,2.6
2024-01-18 12:00:00,5.98,55.55,5.45,30,5.54
2024-01-18 13:00:00,5.2,69.0,4.45,20,3.25
2024-01-18 14:00:00,0.69,97.14,3.48,30,1.21
2024-01-18 15:00:00,2.34,8.37,9.12,20,14.3
2024-01-18 16:00:00,0.65,90.12,3.12,20,1.36
2024-01-18 17:00:00,0.89,12.61,8.1,40,13.78
2024-01-18 18:00:00,-5.07,39.3,5.59,20,6.36
2024-01-18 19:00:00,-3.06,85.14,2.18,50,1.0
2024-01-18 20:00:00,-3.52,90.63,1.99,30,0.83
2024-01-18 21:00:00,-10.19,50.64,3.77,30,4.15
2024-01-18 22:00:00,-9.84,59.41,0.94,50,0.89
2024-01-18 23:00:00,-12.05,70.81,0.95,50,0.66
2024-01-19 00:00:00,-8.55,83.28,0.0,40,0.0
2024-01-19 01:00:00,-6.41,12.15,1.55,30,2.65
2024-01-19 02:00:00,-4.34,81.01,1.82,50,1.12
2024-01-19 03:00:00,-6.4,48.13,2.41,40,2.78
2024-01-19 04:00:00,-2.25,45.06,4.06,30,4.77
